Date,Open,High,Low,Close,Volume
09/05/2023,"5.5220","7.1740","5.3800","6.8380","13,215,841"
09/01/2023,"6.2990","6.3250","5.2380","5.5000","6,125,853"
08/31/2023,"4.7500","6.4790","4.6511","5.7210","17,534,570"
08/30/2023,"4.1000","4.8500","3.9500","4.5490","4,102,213"
08/29/2023,"3.9000","4.0900","3.8140","4.0170","1,130,875"
08/28/2023,"3.9930","3.9930","3.8410","3.9040","709,276"
08/25/2023,"3.9300","3.9880","3.8400","3.9000","850,054"
08/24/2023,"4.1220","4.1400","3.8800","3.8950","1,001,880"
08/23/2023,"4.0000","4.2500","3.9150","4.1790","799,473"
08/22/2023,"4.2120","4.2240","3.9750","4.0190","1,213,872"
08/21/2023,"4.5000","4.6740","4.1220","4.1450","1,953,501"
08/18/2023,"4.0980","4.6230","4.0100","4.6150","3,951,016"
08/17/2023,"3.8890","4.2920","3.8300","4.1210","2,093,571"
08/16/2023,"3.8620","4.0700","3.8060","3.8390","1,128,524"
08/15/2023,"3.9380","3.9570","3.8100","3.8540","1,010,316"
08/14/2023,"4.0000","4.0000","3.8000","3.9770","1,058,777"
08/11/2023,"4.2290","4.3900","3.9000","4.0270","2,116,734"
08/10/2023,"4.5410","4.5990","4.1890","4.3080","2,188,376"
08/09/2023,"4.7660","4.8010","4.3640","4.6790","2,918,795"
08/08/2023,"4.3800","4.7700","4.2990","4.6850","3,078,772"
08/07/2023,"4.5000","4.5020","4.0540","4.3770","1,457,816"
08/04/2023,"4.6320","4.7000","4.4300","4.4730","1,417,066"
08/03/2023,"4.4000","4.8900","4.3000","4.6340","2,568,295"
08/02/2023,"4.6100","4.6900","4.4040","4.4220","2,285,408"
08/01/2023,"4.8500","4.8640","4.6140","4.7180","2,508,501"
07/31/2023,"5.3000","5.3000","4.6700","4.9300","5,917,885"
07/28/2023,"4.2990","4.7700","4.1070","4.7450","5,355,693"
07/27/2023,"4.2000","4.4400","4.0300","4.1000","4,196,646"
07/26/2023,"4.0000","4.3200","3.8810","4.0150","4,903,981"
07/25/2023,"3.8360","3.9470","3.8000","3.8880","1,557,920"
07/24/2023,"3.9190","4.0940","3.8220","3.9470","1,875,025"
07/21/2023,"3.9500","4.0980","3.7700","3.8670","2,015,565"
07/20/2023,"4.2820","4.2820","3.7690","3.9000","2,725,584"
07/19/2023,"3.9310","4.5000","3.9100","4.1810","4,926,759"
07/18/2023,"3.7940","3.9790","3.6220","3.9000","3,066,590"
07/17/2023,"4.0220","4.0400","3.4600","3.7390","7,582,731"
07/14/2023,"5.4180","5.4180","3.8260","3.8410","18,413,311"
07/13/2023,"5.6000","6.7990","5.4000","6.5000","6,184,990"
07/12/2023,"5.7800","6.2000","5.2020","5.6340","3,645,321"
07/11/2023,"4.7400","5.9680","4.7400","5.5200","6,551,596"
07/10/2023,"4.7460","4.8700","4.3070","4.7990","2,563,579"
07/07/2023,"4.2670","5.1410","4.0200","4.7600","5,174,610"
07/06/2023,"4.4400","4.6000","4.1100","4.2480","2,605,354"
07/05/2023,"5.6560","5.8000","4.4850","4.5910","4,520,030"
07/03/2023,"4.0110","6.3290","4.0020","5.9000","8,682,774"
06/30/2023,"4.2750","4.3000","3.8400","3.8790","2,928,625"
06/29/2023,"4.4000","4.5800","4.3000","4.3770","1,127,623"
06/28/2023,"4.6290","4.6290","4.2680","4.3190","1,660,746"
06/27/2023,"5.2200","5.2200","4.6900","4.7400","1,658,564"
06/26/2023,"5.2010","5.6790","5.1010","5.1740","1,364,158"
06/23/2023,"5.5900","5.6300","5.0000","5.1750","2,667,199"
06/22/2023,"5.9770","6.0700","5.6100","6.0140","1,198,244"
06/21/2023,"6.0000","6.3200","5.8700","5.9980","1,722,436"
06/20/2023,"6.3830","6.3980","5.9340","6.0300","1,038,228"
06/16/2023,"6.5100","6.5873","6.2650","6.2990","1,073,281"
06/15/2023,"6.5500","6.6000","6.4200","6.4730","1,085,662"
06/14/2023,"7.0000","7.1230","6.5100","6.6780","1,819,124"
06/13/2023,"7.4000","7.4000","6.8800","7.0500","1,358,566"
06/12/2023,"6.8500","7.3650","6.7000","7.2990","1,106,198"
06/09/2023,"7.0910","7.2000","6.6400","6.7970","1,262,709"
06/08/2023,"7.2110","7.3470","6.9100","6.9400","1,124,323"
06/07/2023,"7.5580","7.6990","7.1500","7.2270","1,058,430"
06/06/2023,"7.8010","7.8010","7.1100","7.3940","1,639,657"
06/05/2023,"8.3960","8.4600","7.7180","7.8300","623,177"
06/02/2023,"8.6000","8.6420","8.1720","8.2510","556,346"
06/01/2023,"8.3000","8.6300","8.0680","8.3490","698,905"
05/31/2023,"8.5400","8.5680","8.0000","8.3500","624,939"
05/30/2023,"9.1370","9.1370","8.4000","8.5030","727,052"
05/26/2023,"8.8890","9.0400","8.3000","8.7730","1,634,242"
05/25/2023,"10.5000","10.5000","8.7090","8.8310","2,944,694"
05/24/2023,"10.6000","10.8000","10.4000","10.5000","419,492"
05/23/2023,"11.7000","11.7000","10.5000","10.7000","1,054,609"
05/22/2023,"11.1000","12.6000","10.9000","11.7000","1,352,204"
05/19/2023,"10.4000","11.1000","10.3000","10.9000","1,484,313"
05/18/2023,"10.5000","10.5500","10.2000","10.5000","1,129,954"
05/17/2023,"10.4000","10.6000","10.2000","10.5000","1,332,915"
05/16/2023,"10.5000","10.8000","10.2500","10.3000","580,790"
05/15/2023,"10.6000","10.8000","10.2000","10.6000","578,131"
05/12/2023,"10.7000","11.4000","10.2000","10.5000","739,146"
05/11/2023,"12.0000","12.3990","10.3000","10.4000","1,410,454"
05/10/2023,"12.6000","12.9000","11.9000","12.2000","710,936"
05/09/2023,"13.0000","13.1660","12.4000","12.5000","455,988"
05/08/2023,"13.5000","13.5000","12.9000","13.2000","482,179"
05/05/2023,"12.8000","13.7000","12.3000","13.4000","1,698,726"
05/04/2023,"12.1000","12.8000","11.8000","12.5000","1,128,313"
05/03/2023,"12.3000","12.5000","12.0000","12.1000","388,985"
05/02/2023,"12.8000","12.8000","12.0000","12.2000","383,518"
05/01/2023,"13.1000","13.2000","12.5000","12.9000","480,551"
04/28/2023,"13.0500","13.7000","13.0000","13.0000","525,933"
04/27/2023,"13.4000","13.6000","12.8000","13.1000","1,165,637"
04/26/2023,"13.0000","13.0000","12.7000","12.7000","418,029"
04/25/2023,"13.0000","13.1000","12.6000","12.8000","543,748"
04/24/2023,"13.3000","13.5000","12.6010","13.2000","513,983"
04/21/2023,"13.5000","13.8000","13.4000","13.4000","235,733"
04/20/2023,"14.1000","14.4000","13.5000","13.5000","522,757"
04/19/2023,"14.3000","14.5000","14.1000","14.3000","320,637"
04/18/2023,"15.0000","15.1000","14.3000","14.3000","472,545"
04/17/2023,"14.5000","15.0000","14.3000","14.8000","691,996"
04/14/2023,"15.0000","15.3000","14.3000","14.3000","653,815"
04/13/2023,"15.2000","15.6000","15.1000","15.1000","464,145"
04/12/2023,"15.5000","15.8000","15.1000","15.2000","407,489"
04/11/2023,"15.9000","15.9310","15.2000","15.4000","575,279"
04/10/2023,"15.6000","16.3000","15.5000","16.0000","910,421"
04/06/2023,"16.0000","16.3000","15.4050","15.8000","559,806"
04/05/2023,"16.7000","16.8000","15.8000","15.9000","524,388"
